"survey_number","location_state","location_county","location_boma","location_payam","location_village","date_of_interview","language","religion","tribe","sex_1","relation_to_hh_head_1","age_1","education_currently_attending","education_level_1","away_from_hh_1","household_member_1","sex_2","relation_to_hh_head_2","age_2","education_currently_attending_1","education_level_2","away_from_hh_2","household_member_2","sex_3","relation_to_hh_head_3","age_3","education_currently_attending_2","education_level_3","away_from_hh_3","household_member_3","sex_4","relation_to_hh_head_4","age_4","education_currently_attending_3","education_level_4","away_from_hh_4","household_member_4","sex_5","relation_to_hh_head_5","age_5","education_currently_attending_4","education_level_5","away_from_hh_5","household_member_5","sex_6","relation_to_hh_head_6","age_6","education_currently_attending_5","education_level_6","away_from_hh_6","household_member_6","sex_7","relation_to_hh_head_7","age_7","education_currently_attending_6","education_level_7","away_from_hh_7","household_member_7","sex_8","relation_to_hh_head_8","age_8","education_currently_attending_7","education_level_8","away_from_hh_8","household_member_8","sex_9","relation_to_hh_head_9","age_9","education_currently_attending_8","education_level_9","away_from_hh_9","household_member_9","sex_10","relation_to_hh_head_10","age_10","education_currently_attending_9","education_level_10","away_from_hh_10","household_member_10","sex_11","relation_to_hh_head_11","age_11","education_currently_attending_10","education_level_11","away_from_hh_11","household_member_11","sex_12","relation_to_hh_head_12","age_12","education_currently_attending_11","education_level_12","away_from_hh_12","household_member_12","sex_13","relation_to_hh_head_13","age_13","education_currently_attending_12","education_level_13","away_from_hh_13","household_member_13","migration_code_hh_member","migration_code_hh_member_1","migration_code_hh_member_2","migration_code_hh_member_3","migration_code_hh_member_4","migration_code_hh_member_5","migration_code_hh_member_6","migration_code_hh_member_7","migration_code_hh_member_8","migration_code_hh_member_9","migration_code_hh_member_10","migration_code_hh_member_11","migration_code_hh_member_12","migration_occupation","migration_occupation_1","migration_occupation_2","migration_occupation_3","migration_occupation_4","migration_occupation_5","migration_occupation_6","migration_occupation_7","migration_occupation_8","migration_occupation_9","migration_occupation_10","migration_occupation_11","migration_occupation_12","migration_occupation_hh_member","migration_occupation_hh_member_1","migration_occupation_hh_member_2","migration_occupation_hh_member_3","migration_occupation_hh_member_4","migration_occupation_hh_member_5","migration_occupation_hh_member_6","migration_occupation_hh_member_7","migration_occupation_hh_member_8","migration_occupation_hh_member_9","migration_occupation_hh_member_10","migration_occupation_hh_member_11","migration_occupation_hh_member_12","remmittance_sent_hh_member","remmittance_sent_hh_member_1","remmittance_sent_hh_member_2","remmittance_sent_hh_member_3","remmittance_sent_hh_member_4","remmittance_sent_hh_member_5","remmittance_sent_hh_member_6","remmittance_sent_hh_member_7","remmittance_sent_hh_member_8","remmittance_sent_hh_member_9","remmittance_sent_hh_member_10","remmittance_sent_hh_member_11","remmittance_sent_hh_member_12","remmittance_value_sent_hh","remmittance_value_sent_hh_1","remmittance_value_sent_hh_2","remmittance_value_sent_hh_3","remmittance_value_sent_hh_4","remmittance_value_sent_hh_5","remmittance_value_sent_hh_6","remmittance_value_sent_hh_7","remmittance_value_sent_hh_8","remmittance_value_sent_hh_9","remmittance_value_sent_hh_10","remmittance_value_sent_hh_11","remmittance_value_sent_hh_12","employment_1_last_12_months","employment_1_last_12_months_1","employment_1_last_12_months_2","employment_1_last_12_months_3","employment_1_last_12_months_4","employment_1_last_12_months_5","employment_1_last_12_months_6","employment_1_last_12_months_7","employment_1_last_12_months_8","employment_1_last_12_months_9","employment_1_last_12_months_10","employment_1_last_12_months_11","employment_1_last_12_months_12","employment_1_by_occupation","employment_1_by_occupation_1","employment_1_by_occupation_2","employment_1_by_occupation_3","employment_1_by_occupation_4","employment_1_by_occupation_5","employment_1_by_occupation_6","employment_1_by_occupation_7","employment_1_by_occupation_8","employment_1_by_occupation_9","employment_1_by_occupation_10","employment_1_by_occupation_11","employment_1_by_occupation_12","employment_1_by_code_last","employment_1_by_code_last_1","employment_1_by_code_last_2","employment_1_by_code_last_3","employment_1_by_code_last_4","employment_1_by_code_last_5","employment_1_by_code_last_6","employment_1_by_code_last_7","employment_1_by_code_last_8","employment_1_by_code_last_9","employment_1_by_code_last_10","employment_1_by_code_last_11","employment_1_by_code_last_12","employment_1_by_employer","employment_1_by_employer_1","employment_1_by_employer_2","employment_1_by_employer_3","employment_1_by_employer_4","employment_1_by_employer_5","employment_1_by_employer_6","employment_1_by_employer_7","employment_1_by_employer_8","employment_1_by_employer_9","employment_1_by_employer_10","employment_1_by_employer_11","employment_1_by_employer_12","employment_1_number_of_months","employment_1_number_of_months_1","employment_1_number_of_months_2","employment_1_number_of_months_3","employment_1_number_of_months_4","employment_1_number_of_months_5","employment_1_number_of_months_6","employment_1_number_of_months_7","employment_1_number_of_months_8","employment_1_number_of_months_9","employment_1_number_of_months_10","employment_1_number_of_months_11","employment_1_number_of_months_12","employment_1_number_of_days","employment_1_number_of_days_1","employment_1_number_of_days_2","employment_1_number_of_days_3","employment_1_number_of_days_4","employment_1_number_of_days_5","employment_1_number_of_days_6","employment_1_number_of_days_7","employment_1_number_of_days_8","employment_1_number_of_days_9","employment_1_number_of_days_10","employment_1_number_of_days_11","employment_1_number_of_days_12","employment_1_hours_per_day","employment_1_hours_per_day_1","employment_1_hours_per_day_2","employment_1_hours_per_day_3","employment_1_hours_per_day_4","employment_1_hours_per_day_5","employment_1_hours_per_day_6","employment_1_hours_per_day_7","employment_1_hours_per_day_8","employment_1_hours_per_day_9","employment_1_hours_per_day_10","employment_1_hours_per_day_11","employment_1_hours_per_day_12","employment_1_type_of_payment","employment_1_type_of_payment_1","employment_1_type_of_payment_2","employment_1_type_of_payment_3","employment_1_type_of_payment_4","employment_1_type_of_payment_5","employment_1_type_of_payment_6","employment_1_type_of_payment_7","employment_1_type_of_payment_8","employment_1_type_of_payment_9","employment_1_type_of_payment_10","employment_1_type_of_payment_11","employment_1_type_of_payment_12","employment_1_payment_value","employment_1_payment_value_1","employment_1_payment_value_2","employment_1_payment_value_3","employment_1_payment_value_4","employment_1_payment_value_5","employment_1_payment_value_6","employment_1_payment_value_7","employment_1_payment_value_8","employment_1_payment_value_9","employment_1_payment_value_10","employment_1_payment_value_11","employment_1_payment_value_12","employment_1_payment_period","employment_1_payment_period_1","employment_1_payment_period_2","employment_1_payment_period_3","employment_1_payment_period_4","employment_1_payment_period_5","employment_1_payment_period_6","employment_1_payment_period_7","employment_1_payment_period_8","employment_1_payment_period_9","employment_1_payment_period_10","employment_1_payment_period_11","employment_1_payment_period_12","employment_1_location_hh","employment_1_location_hh_1","employment_1_location_hh_2","employment_1_location_hh_3","employment_1_location_hh_4","employment_1_location_hh_5","employment_1_location_hh_6","employment_1_location_hh_7","employment_1_location_hh_8","employment_1_location_hh_9","employment_1_location_hh_10","employment_1_location_hh_11","employment_1_location_hh_12","employment_2_last_12_months","employment_2_last_12_months_1","employment_2_last_12_months_2","employment_2_last_12_months_3","employment_2_last_12_months_4","employment_2_last_12_months_5","employment_2_last_12_months_6","employment_2_last_12_months_7","employment_2_last_12_months_8","employment_2_last_12_months_9","employment_2_last_12_months_10","employment_2_last_12_months_11","employment_2_last_12_months_12","employment_2_by_code_last","employment_2_by_code_last_1","employment_2_by_code_last_2","employment_2_by_code_last_3","employment_2_by_code_last_4","employment_2_by_code_last_5","employment_2_by_code_last_6","employment_2_by_code_last_7","employment_2_by_code_last_8","employment_2_by_code_last_9","employment_2_by_code_last_10","employment_2_by_code_last_11","employment_2_by_code_last_12","employment_2_by_employer","employment_2_by_employer_1","employment_2_by_employer_2","employment_2_by_employer_3","employment_2_by_employer_4","employment_2_by_employer_5","employment_2_by_employer_6","employment_2_by_employer_7","employment_2_by_employer_8","employment_2_by_employer_9","employment_2_by_employer_10","employment_2_by_employer_11","employment_2_by_employer_12","employment_2_number_of_months","employment_2_number_of_months_1"
"258","1","1","Lohui","14","Lomini","19022013.0","5.0","1.0","5.0","1","1.0","29.0","2","2.0","0","1","2.0","2.0","25.0","2.0","2.0","0.0","1.0","1.0","3.0","17.0","2.0","3.0","0.0","1.0","2.0","3.0","4.0","1.0","3.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","1.0",,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer","Shopkeeper",,,,,,,,,,,"12.0","12.0","35.0",,,,,,,,,,,"1.0","1.0","3.0",,,,,,,,,,,"8.0","8.0","7.0",,,,,,,,,,,"30.0","30.0","30.0",,,,,,,,,,,"6.0","5.0","14.0",,,,,,,,,,,"3.0","3.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","1.0",,,,,,,,,,,"2.0","2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"257","1","1","Katire Central","14","Katire /Lomini","19022013.0","5.0",,"5.0","1","1.0","31.0","2",,"0","1","2.0","2.0","28.0","2.0",,"0.0","1.0","2.0","3.0","7.0","2.0","1.0","0.0","1.0","1.0","3.0","4.0","2.0","1.0","0.0","1.0","1.0","3.0","1.0","2.0",,"0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","2.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer",,,,,,,,,,,,,"12.0",,,,,,,,,,,,,"1.0",,,,,,,,,,,,,"8.0",,,,,,,,,,,,,"30.0",,,,,,,,,,,,,"4.0",,,,,,,,,,,,,"3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0",,,,,,,,,,,,,"2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"256","1","1","Lohui","14","Lohui","19022013.0","5.0","1.0","5.0","1","1.0","28.0","2","1.0","0","1","2.0","3.0","25.0","2.0","1.0","0.0","1.0","1.0","3.0","9.0","1.0","3.0","0.0","1.0","2.0","3.0","7.0","2.0","1.0","0.0","1.0","2.0","3.0","5.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","2.0","2.0",,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer",,,,,,,,,,,,"12.0","12.0",,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"5.0","5.0",,,,,,,,,,,,"30.0","60.0",,,,,,,,,,,,"2.0","2.0",,,,,,,,,,,,"3.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255","1","1","Lohui","14","Lomini","19022013.0","5.0","1.0","5.0","2","1.0","39.0","2","1.0","0","1","1.0","3.0","12.0","1.0","2.0","0.0","1.0","1.0","3.0","10.0","1.0","2.0","0.0","1.0","1.0","3.0","5.0","2.0","1.0","0.0","1.0","1.0","7.0","12.0","1.0","2.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","1.0",,"1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer","Farmer",,"Farmer",,,,,,,,,"12.0","12.0","12.0",,"12.0",,,,,,,,,"1.0","1.0","1.0",,"1.0",,,,,,,,,"4.0","4.0","4.0",,"4.0",,,,,,,,,"6.0","1.0","1.0",,"1.0",,,,,,,,,"3.0","3.0","3.0",,"3.0",,,,,,,,,"3.0","3.0","3.0",,"3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","1.0",,"1.0",,,,,,,,,"2.0","2.0","2.0",,"2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254","1","1","Lohui","14","Lomini","19022013.0","5.0","1.0","6.0","1","1.0","56.0","2","1.0","0","1","2.0","2.0","59.0","2.0","1.0","0.0","1.0","2.0","3.0","38.0","2.0","1.0","0.0","1.0","1.0","3.0","23.0","1.0","3.0","0.0","1.0","1.0","3.0","15.0","1.0","3.0","0.0","1.0","1.0","3.0","7.0","1.0","3.0","0.0","1.0","2.0","3.0","12.0","2.0","1.0","0.0","1.0","1.0","3.0","5.0","2.0","1.0","0.0","1.0","1.0","3.0","6.0","1.0","3.0","0.0","1.0","2.0","3.0","3.0","2.0","1.0","0.0","1.0","1.0","3.0","2.0","2.0","1.0","0.0","1.0","1.0","3.0","0.0","1.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","2.0","2.0","2.0","2.0","2.0",,"2.0",,,"2.0","2.0","Farmer","Farmer",,"Student",,,,,,,,,,"12.0","12.0",,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"12.0","9.0",,,,,,,,,,,,"21.0","24.0",,,,,,,,,,,,"4.0","3.0",,,,,,,,,,,,"3.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"253","1","7","Moti","8","Enyif","25022013.0","5.0","1.0","5.0","1","1.0","60.0","2","1.0","0","2","2.0","2.0","55.0","2.0","2.0","0.0","1.0","2.0","3.0","24.0","2.0","1.0","0.0","1.0","1.0","5.0","7.0","1.0","2.0","0.0","1.0","2.0","5.0","6.0","1.0","2.0","0.0","1.0","1.0","5.0","3.0","2.0","1.0","0.0","1.0","2.0","5.0","0.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","1.0","2.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer","Farmer",,,,,,,,,,,"12.0","12.0","12.0",,,,,,,,,,,"1.0","1.0","1.0",,,,,,,,,,,"5.0","5.0","5.0",,,,,,,,,,,"24.0","24.0","24.0",,,,,,,,,,,"5.0","5.0","5.0",,,,,,,,,,,"3.0","3.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","1.0",,,,,,,,,,,"2.0","2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"252","1","7","Moti","8","Enyif","25022013.0","5.0","1.0","5.0","2","1.0","47.0","2","3.0","0","1","2.0","3.0","22.0","2.0","1.0","0.0","1.0","2.0","3.0","18.0","1.0","3.0","0.0","1.0","1.0","3.0","15.0","1.0","3.0","0.0","1.0","1.0","3.0","10.0","1.0","3.0","0.0","1.0","2.0","4.0","1.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","2.0","2.0","2.0",,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer",,,,,,,,,,,,"12.0","12.0",,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"7.0","7.0",,,,,,,,,,,,"30.0","30.0",,,,,,,,,,,,"8.0","7.0",,,,,,,,,,,,"3.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"251","1","7","Moti","8","Entif","25022013.0","5.0","1.0","5.0","1","1.0","37.0","2","2.0","0","1","2.0","2.0","25.0","2.0","2.0","0.0","1.0","2.0","3.0","9.0","1.0","2.0","0.0","1.0","1.0","3.0","4.0","1.0","2.0","0.0","1.0","1.0","3.0","0.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer",,,,,,,,,,,,"12.0","12.0",,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"3.0","3.0",,,,,,,,,,,,"26.0","26.0",,,,,,,,,,,,"5.0","5.0",,,,,,,,,,,,"3.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"250","1","7","Moti","8","Enyif","25022013.0","5.0","1.0","5.0","1","1.0","40.0","2","5.0","12","2","2.0","2.0","36.0","2.0","3.0","0.0","1.0","1.0","3.0","18.0","1.0","4.0","0.0","1.0","2.0","3.0","13.0","1.0","3.0","0.0","1.0","2.0","3.0","12.0","1.0","3.0","0.0","1.0","1.0","3.0","11.0","1.0","3.0","0.0","1.0","2.0","3.0","9.0","1.0","3.0","0.0","1.0","2.0","3.0","5.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.0",,,,,,,,,,,,,"Soldier/Millitary",,,,,,,,,,,,,"60.0",,,,,,,,,,,,,"1.0",,,,,,,,,,,,,"500.0",,,,,,,,,,,,,"1.0","1.0","1.0","1.0","1.0","1.0","1.0",,"2.0","2.0","2.0","2.0","2.0","Soldier","Farmer","Farmer","Farmer","Farmer","Farmer","Farmer",,,,,,,"60.0","12.0","12.0","12.0","12.0","12.0","12.0",,,,,,,"5.0","1.0","1.0","1.0","1.0","1.0","1.0",,,,,,,"6.0",,"4.0","4.0","4.0","4.0","4.0",,,,,,,"24.0",,"20.0","20.0","20.0","20.0","20.0",,,,,,,"5.0",,"2.0","2.0","2.0","2.0","2.0",,,,,,,"1.0","3.0","3.0","3.0","3.0","3.0","3.0",,,,,,,"450.0",,,,,,,,,,,,,"3.0",,,,,,,,,,,,,"1.0",,"1.0","1.0","1.0","1.0","1.0",,,,,,,"2.0","2.0","2.0","2.0","2.0","2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249","1","7","Moti","8","Enyif","25022013.0","12.0","1.0","5.0","1","1.0","25.0","1","5.0","0","1","2.0","2.0","20.0","2.0","1.0","0.0","1.0","2.0","3.0","3.0","1.0","2.0","0.0","1.0","1.0","3.0","1.0","2.0","1.0","0.0","1.0","2.0","6.0","45.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,"1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer",,,"Farmer",,,,,,,,,"12.0","12.0",,,"12.0",,,,,,,,,"1.0","1.0",,,"1.0",,,,,,,,,"8.0","8.0",,,"8.0",,,,,,,,,"21.0","21.0",,,"21.0",,,,,,,,,"5.0","5.0",,,"5.0",,,,,,,,,"3.0","3.0",,,"3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,"1.0",,,,,,,,,"2.0","2.0",,,"2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"248","1","7","Moti","8","Enyif","25022013.0","5.0","1.0","5.0","1","1.0","48.0","2","3.0","0","1","2.0","2.0","40.0","2.0","3.0","0.0","1.0","2.0","3.0","20.0","2.0","2.0","0.0","1.0","1.0","3.0","14.0","1.0","3.0","1.0","2.0","1.0","3.0","13.0","1.0","3.0","1.0","2.0","2.0","3.0","7.0","1.0","3.0","1.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0","3.0","3.0",,,,,,,,,,,"Student","Student","Student",,,,,,,,,,,"62.0","60.0","62.0",,,,,,,,,,,"2.0","2.0","2.0",,,,,,,,,,,,,,,,,,,,,"1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer","Farmer",,,,,,,,,,,"12.0","12.0","12.0",,,,,,,,,,,"1.0","1.0","1.0",,,,,,,,,,,"7.0","7.0","7.0",,,,,,,,,,,"30.0","30.0","28.0",,,,,,,,,,,"8.0","6.0","6.0",,,,,,,,,,,"3.0","3.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","1.0",,,,,,,,,,,"2.0","2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"247","1","7","Moti","8","Enyif","25022013.0","5.0","1.0","5.0","1","1.0","27.0","2","3.0","0","1","2.0","2.0","21.0","1.0","4.0","12.0","2.0","1.0","3.0","7.0","1.0","3.0","12.0","2.0","1.0","3.0","5.0","1.0","2.0","12.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.0","5.0",,,,,,,,,,,,"Student","Pupil",,,,,,,,,,,,"62.0","62.0",,,,,,,,,,,,"2.0","2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,"1.0","2.0","2.0",,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Police Military",,,,,,,,,,,,,"60.0",,,,,,,,,,,,,"1.0",,,,,,,,,,,,,"12.0",,,,,,,,,,,,,"26.0",,,,,,,,,,,,,"4.0",,,,,,,,,,,,,"1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0",,,,,,,,,,,,,"1.0",,,,,,,,,,,,,"12.0",,,,,,,,,,,,,"1.0",,,,,,,,,,,,,"8.0",
"246","1","7","Moti","8","Enyif","25022013.0","5.0","1.0","5.0","1","1.0","35.0","2","7.0","0","1","2.0","2.0","29.0","2.0","1.0","0.0","1.0","1.0","3.0","9.0","1.0","2.0","0.0","1.0","1.0","3.0","7.0","1.0","2.0","0.0","1.0","2.0","3.0","4.0","1.0","2.0","0.0","1.0","1.0","3.0","0.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","2.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","Nurse","Farmer",,,,,,,,,,,,"42.0","12.0",,,,,,,,,,,,"5.0","1.0",,,,,,,,,,,,"12.0","7.0",,,,,,,,,,,,"22.0","26.0",,,,,,,,,,,,"9.0","6.0",,,,,,,,,,,,"1.0","3.0",,,,,,,,,,,,"200.0",,,,,,,,,,,,,"3.0",,,,,,,,,,,,,"5.0","1.0",,,,,,,,,,,,"1.0","2.0",,,,,,,,,,,,"12.0",,,,,,,,,,,,,"1.0",,,,,,,,,,,,,"6.0",
"245","1","7","Moti","8","Enyif","25022013.0","5.0","1.0","5.0","1","1.0","30.0","2","3.0","0","1","2.0","2.0","28.0","2.0","1.0","0.0","1.0","1.0","3.0","12.0","1.0","3.0","0.0","1.0","2.0","3.0","4.0","2.0","1.0","0.0","1.0","2.0","3.0","0.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer",,,,,,,,,,,,"12.0","12.0",,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"7.0","7.0",,,,,,,,,,,,"30.0","30.0",,,,,,,,,,,,"10.0","6.0",,,,,,,,,,,,"3.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"244","1","7","Moti","8","Enyif","25022013.0","5.0","1.0","5.0","1","1.0","27.0","2","3.0","0","1","2.0","2.0","23.0","2.0","1.0","0.0","1.0","1.0","3.0","7.0","1.0","3.0","0.0","1.0","1.0","3.0","4.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","2.0",,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer",,,,,,,,,,,,"12.0","12.0",,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"2.0","2.0",,,,,,,,,,,,"26.0","26.0",,,,,,,,,,,,"4.0","4.0",,,,,,,,,,,,"3.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"243","1","7","Loulang","18","Italak","27022013.0","5.0","1.0","5.0","2","1.0","35.0","2","1.0","0","1","2.0","3.0","15.0","1.0","3.0","0.0","1.0","1.0","3.0","12.0","1.0","3.0","0.0","1.0","1.0","3.0","0.0","2.0","1.0","0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0","2.0",,"2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","Farmer","Farmer",,,,,,,,,,,,"12.0","12.0",,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"8.0","4.0",,,,,,,,,,,,"30.0","24.0",,,,,,,,,,,,"5.0","2.0",,,,,,,,,,,,"3.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,"2.0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
